id,title,author,category,ean_isbn13,upc_isbn10,description,publisher,publish_date,added,length
75,Bruised Reed (Puritan Paperbacks),Richard Sibbes,Puritan Works,9780851517407,0851517404,"Richard Sibbes (or Sibbs) (1577&ndash;1635) was an English theologian. He is known as a Biblical exegete, and as a representative, with William Perkins and John Preston, of what has been called &quot;main-line&quot; Puritanism.",Banner of Truth,1998-03-01,2023-05-20,138
76,Building Belief: Constructing Faith from the Ground Up,Chad V. Meister,Apologetics,9780801065699,0801065690,"There are many apologetics resources available on bookstore shelves across the country, but none are quite like this one. Based on the Apologetics Pyramid method developed during Meister&#039;s work in the Defender&#039;s Ministry at Willow Creek Community Church, Building Belief begins not with assumptions of people&#039;s biblical knowledge but with their experiences. Author Chad V. Meister developed his strategy to begin where most contemporary unbelievers find themselves-filled with uncertainty and doubt. From there he seeks to lead them objectively through levels of reasoning to the apex of the pyramid: the ultimate truth of God found in Christ. By meeting people where they are in life, Meister creates a resource that promotes greater understanding and spiritual development. Lay readers, spiritual seekers, and Christians who want to strengthen their own faith will appreciate this fresh take on a traditional apologetics approach.",Baker Books,2006-08-01,2023-06-17,240
77,By This Standard: The Authority of God's Law Today,Greg L. Bahnsen,Apologetics,9780915815845,0915815842,"God&#039;s Law is Christianity&#039;s tool of dominion. This is where any discussion of God&#039;s law ultimately arrives: the issue of dominion. Ask yourself: Who is to rule on earth, Christ or Satan? Whose followers have the ethically acceptable tool of dominion, Christ&#039;s or Satan&#039;s? What is this tool of dominion, the bibically revealed law of God, or the law of self-proclaimed autonomous man? Whose word is sovereign, God&#039;s or man&#039;s?  Millions of Christians, sadly, have not recognized the continuing authorigy of God&#039;s law or its many applications to modern society. They have thereby reaped the whirlwind - cultural and intellectual impotence. They implicitly have surrendered this world to the devil. They have implicitly denied the power of the death and resurrection of Christ. They have served as footstools for the enemies of God. But humanism&#039;s free ride is coming to an end. This book serves as an introduction to this woefully neglected topic.",American Vision/Covenant Media Press,2008-01-01,2023-06-17,263
78,Calvin: Institutes of the Christian Religion (2 Volume Set) Vol 1,John Calvin,Systematic Theology,9780664220280,0664220282,"This is the definitive English-language edition of one of the monumental works of the Christian church. All previous editions--in Latin, French, German, and English--have been collated; references and notes have been verified, corrected, and expanded; and new bibliographies have been added.The translation preserves the rugged strength and vividness of Calvin&#039;s writing, but also conforms to modern English and renders heavy theological terms in simple language. The result is a translation that achieves a high degree of accuracy and at the same time is eminently readable.Long recognized for the quality of its translations, introductions, explanatory notes, and indexes, the Library of Christian Classics provides scholars and students with modern English translations of some of the most significant Christian theological texts in history. Through these works--each written prior to the end of the sixteenth century--contemporary readers are able to engage the ideas that have shaped Christian theology and the church through the centuries.",Westminster John Knox Press,1960-01-01,2023-05-20,1800
79,Calvin: Institutes of the Christian Religion (2 Volume Set) Vol 2,John Calvin,Systematic Theology,9780664220280,0664220282,"This is the definitive English-language edition of one of the monumental works of the Christian church. All previous editions--in Latin, French, German, and English--have been collated; references and notes have been verified, corrected, and expanded; and new bibliographies have been added.The translation preserves the rugged strength and vividness of Calvin&#039;s writing, but also conforms to modern English and renders heavy theological terms in simple language. The result is a translation that achieves a high degree of accuracy and at the same time is eminently readable.Long recognized for the quality of its translations, introductions, explanatory notes, and indexes, the Library of Christian Classics provides scholars and students with modern English translations of some of the most significant Christian theological texts in history. Through these works--each written prior to the end of the sixteenth century--contemporary readers are able to engage the ideas that have shaped Christian theology and the church through the centuries.",Westminster John Knox Press,1960-01-01,2023-05-20,1800
80,Can Man Live Without God,Ravi Zacharias,Apologetics,,978971511957,,OMF Literature Inc.,2006-01-01,2023-06-17,213
81,Cat and Dog Theology,,Theology,9789717179605,971717960,"Rethinking our relationship with out Master
Living Passionately for the Glory of God",,,2023-05-20,
82,"Center Church: Doing Balanced, Gospel-Centered Ministry in Your City",Timothy J. Keller,Church Ministry,9780300000000,310494184,"Today many pastors are struggling to adapt to a post-Christian culture without abandoning orthodox theology. How do we communicate the concepts of grace and substitutionary atonement in our globalized culture and context? In Center Church, Timothy Keller offers challenging insights and provocative questions based on over twenty years of ministry in New York City. This book outlines a theological vision for ministry - applying classic doctrines to our time and place - organized around three core commitments: * Gospel-centered: The gospel of grace in Jesus Christ changes everything, from our hearts to our community to the world. It completely reshapes the content, tone and strategy of all that we do. * City-centered: With a positive approach toward our culture, we learn to affirm that cities are wonderful, strategic and underserved places for gospel ministry. * Movement-centered: Instead of building our own tribe, we seek the prosperity and peace of our community as we are led by the Holy Spirit. &#039;In this important book, Tim Keller unpacks the gospel and gently but firmly reminds us that it is nonnegotiable. At the same time, he enables us to think through how we can responsibly interact with the culture, how we can - indeed, must - appreciate good things within it, and how we can firmly and faithfully apply the gospel to it.&#039; - D.A. Carson, research professor of New Testament, Trinity Evangelical Divinity School",Zondervan,2012-09-04,2023-06-17,400
83,Christ Alone---The Uniqueness of Jesus As Savior,"Stephen Wellum, Matthew Barrett (Contribution by)",The 5 Solas Series,9780310515746,0310515742,"Historians and theologians alike have long recognized that at the heart of the sixteenth-century Protestant Reformation were five declarations (or ""solas"") that distinguished the movement from other expressions of the Christian faith. Five hundred years later, we live in a different time with fresh challenges to our faith. Yet these rallying cries of the Reformation continue to speak to us, addressing a wide range of contemporary issues. The Five Solas series will help you understand the historical and biblical context of the five solas and how to live out the relevance of Reformation theology today. In Christ Alone, Stephen Wellum considers Christ's singular uniqueness and significance biblically, historically, and today, in our pluralistic and postmodern age. He examines the historical roots of the doctrine, especially in the Reformation era, and then shows how the uniqueness of Christ has come under specific attack today. Then, he walks us through the storyline of Scripture, from Christ's unique identity and work as prophet, priest, and king, to the application of his work to believers and our covenantal union with him to show that apart from Christ there is no salvation. Wellum shows that we must recover a robust biblical and theological doctrine of Christ's person and work in the face of today's challenges and explains why a fresh appraisal of the Reformation understanding of Christ alone is needed today.",Zondervan,2017-04-18,2023-06-17,352
84,"Christ humbled, Christ exalted (John MacArthur's Bible Studies)",John MacArthur,Commentaries,9780802453396,0802453392,,Moody Press,,2023-06-17,70
85,Christ Set Forth (Puritan Paperbacks),Thomas Goodwin,Puritan Works,9781848715585,1848715587,"First published in 1642, Christ Set Forth one of Thomas Goodwin's most beloved and enduring works is a book full of theological riches and penetrating pastoral insights. Addressing, from an exposition of Romans 8:34, the pastoral problem that many believers stray in their faith by looking into their own hearts for signs of grace instead of looking away from themselves to Christ, Christ Set Forth is primarily a book written to encourage Christians. As Scott Berggren says in the Foreword, It is a guidebook for keeping one's heart and faith pointed in the right direction, towards Christ himself. In it Goodwin pushes aside anything that might displace Christ in one's heart. In chapter after chapter he sets forth the glory of Christ and his work as mediator as the only object of one s faith and affection.",Banner of Truth,2015-03-06,2023-05-20,264
86,"Christ’s Psalms, Our Psalms: Devotional",Peter H. Holtvlüwer,Old Testament Studies,9780986727412,0986727415,"The Psalms have long been loved by believers. We turn to them in good days and bad, to both praise God with thanksgiving and to plead with God for help. The struggles of David and the other psalmists resonate with us and we treasure the same promises of the LORD that they relied on. The meditations in Christ's Psalms, Our Psalms - Devotional uncover those treasures. Sixteen Reformed pastors write rich yet easy-to-understand devotions that will help strengthen your faith in God. Even more, the Devotional shows how Jesus Christ is foreshadowed in all the laments, praises, thanksgivings and words of wisdom found throughout the Psalms. Like David and the other poets, Jesus suffered greatly, learned to lean on His Father intensely, and had cause to give thanks abundantly - and all this He went through as our Mediator. Each devotion helps us to know our Saviour more deeply. Three appendices add psalm devotions for those special dates on the Christian calendar: Christmas, Good Friday, Easter, Resurrection, Ascension and Pentecost. Thanksgiving and the New Year are also reflected upon.",LittleANGELS Press,2018-01-01,2023-06-17,395
87,Christ's Call to Discipleship,James Montgomery Boice,Christian Living,9780825420740,0825420741,"Boice describes what it means to live a life of true discipleship-recognizing Christ's dominion not only as Savior but also as Lord. Popular radio speaker, author, and pastor James Montgomery Boice describes what it means to live a life of true discipleship-recognizing Christ's dominion not only as Savior but also as Lord. Dr. Boice explores the meaning, path, cost, and rewards of being a true disciple. As the author asserts in the preface, ""I believe that if America could produce a generation of Christians who genuinely affirm and live by these teachings",Kregel Publications,1998-01-01,2023-06-17,168
88,Christian Educator's Handbook on Teaching,Kenneth O. Gangel,"Dictionaries, Concordance, etc.",9780896934894,0896934896,"Written by Christian education specialists, The Christian Educator's Handbook on Teaching is a complete resource on Christian teaching for use in the home, church, and school. Each of the contributors to this volume is deeply concerned that the reader be equipped for the awesome privilege of teaching. A potpourri of principles and practices are outlined, including valuable insights for both the beginning teacher and the veteran.  Foundations are laid, patterns are presented, varieties of teaching are revealed, and crucial roles in Christian teaching are exposed--all with a view to providing the Christian educator with a helpful handbook on teaching. Keep it on your desk--at arm's length--for ready reference and repeated reading.  Here you will find a gold mine of information on all phases and places of teaching God's truth. Twenty-one chapters address four general topics: Foundations for Christian Teaching  Crucial Roles in Christian Teaching  Patterns and Process of Christian Teaching  Varieties of Christian Teaching",Victor Books,1988-09-01,2023-06-17,358
89,Christian's Great Interest (Puritan Paperbacks),William Guthrie,Puritan Works,9780851513546,0851513549,"This book was originally published prior to 1923, and represents a reproduction of an important                 historical work, maintaining the same format as the original work. While some publishers have opted to                 apply OCR (optical character recognition) technology to the process, we believe this leads to                 sub-optimal results (frequent typographical errors, strange characters and confusing formatting) and                 does not adequately preserve the historical character of the original artifact. We believe this work is                 culturally important in its original archival form. While we strive to adequately clean and digitally                 enhance the original work, there are occasionally instances where imperfections such as blurred or                 missing pages, poor pictures or errant marks may have been introduced due to either the quality of the                 original work or the scanning process itself. Despite these occasional imperfections, we have brought it                 back into print as part of our ongoing global book preservation commitment, providing customers with                 access to the best possible historical reprints. We appreciate your understanding of these occasional                 imperfections, and sincerely hope you enjoy seeing the book in a format as close as possible to that                 intended by the original publisher.",Banner of Truth,1969-06-01,2023-05-20,208
90,Christianity and Liberalism,J. Gresham Machen,Theology,,0802811213,"Rethinking our relationship with out Master
Living Passionately for the Glory of God",,,2023-05-20,
91,Collected Writings on Scripture,D. A. Carson,Theology,9781433514418,1433514419,"God&rsquo;s Word has always had enemies, but in recent years the inspiration and authority of Scripture have been attacked with renewed vigor. Respected scholar D. A. Carson has written widely on the nature of Scripture over the past thirty years, and here presents a timely collection of his work in two parts. In part 1, Carson selects essays written on such themes as how to interpret the Bible, recent developments in the doctrine of Scripture, unity and diversity in the New Testament, and redaction criticism. Presenting a theologically balanced and confessional perspective, Carson defines the terms of a number of debates, critiques interpretive methods and theories, and suggests positive guidelines for future action. Part 2 presents critical reviews of nine books dealing with the inspiration and authority of Scripture. Though substantial in content, Carson&rsquo;s detailed reviews will foster careful thought and perspective in those who are relatively new to the debates surrounding biblical inspiration and authority. This volume is a diverse collection that will prove to be a helpful resource to both seasoned pastors and scholars and those who are just starting serious study of the Bible.",Crossway,2010-07-01,2023-05-20,336
92,Come and Welcome to Jesus Christ (Puritan Paperbacks),John Bunyan,Puritan Works,9780851518534,0851518532,"Of all John Bunyan&rsquo;s writings, this book most fully expresses his delight and joy in the free and gracious welcome given to sinners by Jesus Christ. It is a thorough exposition of John 6:37: All that the Father giveth me shall come to me; and him that cometh to me I will in no wise cast out. Bunyan not only explains the meaning of the terms used in the text, but also labours to remove the doubts and difficulties of sinners and backsliders in their approach to Christ.",Banner of Truth,2004-03-01,2023-05-20,240
93,Commentary on the Old Testament in Ten Volumes,C.F. Keil and F. Delitzsch,Old Testament Studies,,0802880355,,William B. Eerdsmans Publishing Company,1976-01-01,2023-06-17,
94,Complete Expository Dictionary of Old and New Testament Words,"Merill F. Unger, William White Jr., ","Dictionaries, Concordance, etc.",,0-8407-7559-,,Thomas Nelson Publishers,,2023-06-17,
95,Confessing the Faith: A Reader's Guide to the Westminster Confession of Faith,Chad Van Dixhoorn,Creeds and Confessions,9781848714045,1848714041,"This accessible, biblical, and thoughtful work digests years of study and teaching into bite-sized sections. Van Dixhoorn&#039;s work is historical and practical in its focus. It deliberately presents readers with more than another survey of Reformed theology; it offers a guide to a particular text, considers its original proof-texts, and seeks to deepen our understanding of each paragraph of the Confession.",Banner of Truth,2014-08-04,2023-06-17,512
96,Conflict and Triumph: The Argument of the Book of Job Unfolded,William Henry Green,Old Testament Studies,9780851517612,0851517617,"Written by a master of Old Testament interpretation with a pastor&#039;s heart,this work sheds a great deal of light on the meaning of the Book of Job. The author explains the structure of the book, the role played by each of the participants, the significance of their speeches and the bearing of each part on the overall theme. But his deeper pastoral concern is to help the &#039;afflicted child of God&#039; to draw &#039;the waters of consolation from this inspired and copious source&#039;.",Banner of Truth,1999-12-01,2023-06-17,177
97,Counseling for Church Leaders,John W. Drakeford,Pastoral Ministry,,8054422405,,Broadman Press,1961-01-01,2023-06-17,
98,Counted Righteous in Christ: Should We Abandon the Imputation of Christ's Righteousness?,John Piper,Theology,9780851119915,0851119913,"Are Christians merely forgiven, or does God credit them with righteousness of Christ? This is a central question in contemporary challenges to the historic Protestant understanding of justification by faith.

In response, John Piper offers a lucid and compelling examination of the doctrine of Christ's righteousness and its role in the justification of sinners. He combines careful exegesis of biblical texts with a pastor's heart for the welfare of the church, to show that we need to see ourselves as the recipients of the imputation of Christ's righteousness. This is the basis of our full acceptance with God and everlasting inheritance of life and joy.",Inter Varsity Press,2003-01-01,2023-06-17,144
99,Courage to Stand: Jeremiah's Message for Post-Christian Times,Philip G Ryken,Old Testament Studies,9781596381537,1596381531,"Is the world turning its back on God? Western civilization is standing at a crossroad -- a crossroad where God is beckoning his people to do as the prophet Jeremiah did. To stand up and speak the truth. To follow God, even if it hurts. To weep for the rudderless people you meet every day. To pray and influence our culture for Christ.In Jeremiah's day, a time much like our own, public life was becoming dominated by pagan ideas and practices. Jeremiah showed courage and passion even through his sufferings -- to show us how to live for God in today's difficult times.This is the story of his life and ministry: in it, you will find down-to-earth help and fresh examples on how to live, think, and feel in a godless culture and encouragement to proclaim the truth of God's word -- regardless of cost. Your stand may also lead to opposition, hostility and even persecution, but God promises that in the end victory will be yours as you grow in courage and devotion.",P &amp; R Publishing,2009-05-12,2023-06-17,208
100,Covenant Theology: A Reformed and Baptistic Perspective on God's Covenants,Greg Nichols,Creeds and Confessions,9781599253428,1599253429,"""Baptists who embrace their historic Calvinistic and Covenantal roots have long since needed a robust and comprehensive treatment of Covenant Theology that includes the nuanced interpretations of the biblical covenants that a baptistic hermeneutic requires. This treatment by Greg Nichols does just that and more. As a devotee of the Westminster tradition (including its chapter, 'On God's Covenant with Man'), I differ here and there; sometimes significantly so. But there is so much to applaud in this volume and Baptists will do well to read this volume carefully and with much gratitude. A splendid achievement. I, for one, will insist that my Presbyterian students read it."" - Derek W. H. Thomas",Solid Ground Christian Books,2014-02-07,2023-06-17,386
101,"Covenant, Justification, and Pastoral Ministry: Essays by the Faculty of Westminster Seminary California",,Systematic Theology,9781596380356,1596380357,,P & R Publishing,2007-01-01,2023-05-20,465
102,Creation And Change: Genesis 1.1 - 2.4 in the Light of Changing Scientific Paradigms,Douglas F. Kelly,Apologetics,9781857922837,1857922832,In this book Professor Douglas Kelly persuasively argues for a literal interpretation of the seven day account of creation found in Genesis chapters 1 and 2. He assesses both the biblical details and the scientific data to show that there is a convincing case for this understanding and how it is scientifically viable.,Mentor,2000-03-01,2023-05-20,272
103,Creative Bible Teaching,Lawrence O. Richards,Church Ministry,,802416403,,Moody Press,1970-01-01,2023-06-17,
104,"Daily Readings From the Life of Christ, Volume 3 (Grace For Today)",John MacArthur,Devotionals,9780802456021,0802456022,"Staying in the Word and focused on Christ.&nbsp; They are foundational  to the Christian life. Here is a great tool to help you do both.&nbsp; In this&nbsp;third  volume devotional by John MacArthur, you will be fed and focused on God&#039;s Word,  insights on the life of Jesus, thoughts to ponder, and wisdom gleaned from years  of careful study. Daily Readings from the Life of Christ Volume&nbsp;3  delivers more fresh insights into the grace of God through Christ. Let the practical  and encouraging pages&nbsp;of this devotional&nbsp;challenge and uplift your heart  as you come face-to-face with the infinite wonders of our Savior&#039;s life on this  earth.",Moody Publishers,2010-08-25,2023-06-17,384
105,Daniel (Reformed Expository Commentary) [copy 1],Iain M. Duguid,Commentaries,9781596380684,1596380683,"The book of Daniel is both familiar and unfamiliar to many Christians. The stories of the fiery furnace and Daniel in the lion&#039;s den are the staples of children&#039;s Bible storybooks and Sunday school classes. Yet the latter chapters of Daniel&#039;s vision are more unfamiliar and daunting to most believers, who may have been exposed to a variety of end-times speculations constructed from an amalgam of these texts and others drawn from elsewhere in the Bible.But Iain M. Duguid reminds Christians that Daniel gives us more than moral lessons or a prophetic timetable. The whole of the book points us to Christ, whether as the one greater than Daniel who has perfectly lived an exilic life of service and separation for us or as the exalted heavenly Son of Man who took flesh amongst us.As are all the books in the Reformed Expository Commentary series, this exposition of Daniel is accessible to both pastors and lay readers. Each volume in the series provides exposition that gives careful attention to the biblical text, is doctrinally Reformed, focuses on Christ through the lens of redemptive history, and applies the Bible to our contemporary setting.",P & R Publishing,2008-03-01,2023-05-20,236
106,Daniel (Reformed Expository Commentary) [copy 2],,Commentaries,9781596380684,1596380683,"The book of Daniel is both familiar and unfamiliar to many Christians. The stories of the fiery furnace and Daniel in the lion&#039;s den are the staples of children&#039;s Bible storybooks and Sunday school classes. Yet the latter chapters of Daniel&#039;s vision are more unfamiliar and daunting to most believers, who may have been exposed to a variety of end-times speculations constructed from an amalgam of these texts and others drawn from elsewhere in the Bible.But Iain M. Duguid reminds Christians that Daniel gives us more than moral lessons or a prophetic timetable. The whole of the book points us to Christ, whether as the one greater than Daniel who has perfectly lived an exilic life of service and separation for us or as the exalted heavenly Son of Man who took flesh amongst us.As are all the books in the Reformed Expository Commentary series, this exposition of Daniel is accessible to both pastors and lay readers. Each volume in the series provides exposition that gives careful attention to the biblical text, is doctrinally Reformed, focuses on Christ through the lens of redemptive history, and applies the Bible to our contemporary setting.",P & R Publishing,2008-03-01,2023-05-20,236
107,Deacons: Servant Models in the Church,Henry Webb,Church Ministry,9780800000000,805424636,,Broadman and Holman Publishers,2001-01-01,2023-06-17,
108,Deliver Us From Evil: Restoring the Soul in a Disintegrating Culture,Ravi Zacharias,Apologetics,,0849913950,,Word Publishing,1996-01-01,2023-06-17,229
109,"Dictionary of the Old Testament: Wisdom, Poetry &amp; Writings (The IVP Bible Dictionary Series)","Tremper Longman III, Peter Enns","Dictionaries, Concordance, etc.",9780830817832,0830817832,"2009  Merit Award winner!  2009 Evangelical Christian Publishers Association (ECPA) Christian Book Award winner!  The Old Testament books of wisdom and poetry carry themselves differently from those of the Pentateuch, the histories or the prophets. The divine voice does not peal from Sinai, there are no narratives carried along by prophetic interpretation nor are oracles declaimed by a prophet. Here Scripture often speaks in the words of human response to God and God&#039;s world. The hymns, laments and thanksgivings of Israel, the dirge of Lamentations, the questionings of Qohelet, the love poetry of the Song of Songs, the bold drama of Job and the proverbial wisdom of Israel all offer their textures to this great body of biblical literature. Then too there are the finely crafted stories of Ruth and Esther that narrate the silent providence of God in the course of Israelite and Jewish lives.  This third Old Testament volume in InterVarsity Press&#039;s celebrated &quot;Black Dictionary&quot; series offers nearly 150 articles covering all the important aspects of Job, Proverbs, Ecclesiastes, Psalms, Song of Songs, Lamentations, Ruth and Esther. Over ninety contributors, many of them experts in this literature, have contributed to the  This volume maintains the quality of scholarship that students, scholars and pastors have come to expect from this series.  Coverage of each biblical book includes an introduction to the book itself as well as separate articles on its ancient Near Eastern background and its history of interpretation. Additional articles amply explore the literary dimensions of Hebrew poetry and prose, including acrostic, ellipsis, inclusio, intertextuality, parallelism and rhyme. And there are well-rounded treatments of Israelite wisdom and wisdom literature, including wisdom poems, sources and theology. In addition, a wide range of interpretive approaches is canvassed in articles on hermeneutics, feminist interpretation, form criticism, historical criticism, rhetorical criticism and social-scientific approaches.  The  is sure to command shelf space within arm&#039;s reach of any student, teacher or preacher working in this portion of biblical literature.  Tremper Longman III and Peter E. Enns edit this collection of 148 articles by 90 contributors on Job, Psalms, Proverbs, Ecclesiastes, Song of Songs, Lamentations, Ruth and Esther.",IVP Academic,2008-06-17,2023-06-17,991
110,Disciplines of a Godly Man (Paperback Edition),R. Kent Hughes,Christian Living,9781581347586,1581347588,"&quot;Discipline is a subject about which the Scriptures say much-but contemporary authors have been peculiarly silent. Kent Hughes fills a gaping void with this superb volume.&hellip; If there is a spark of spiritual desire in your soul, this book will surely kindle it into a blazing passion for godly discipline.&quot; -John MacArthur, pastor and best-selling author &quot;This is a book for men who are eager to learn how to be more effective. It comes from the pen of one who has learned to serve as he has led and who is able to provide the reader with many practical applications of eternal truth.&quot; -C. William Pollard, Chairman and CEO, The ServiceMaster Company &quot;To open this book and find someone taking seriously the biblical call of&#039;agonizing to enter the kingdom&#039; and&hellip; boxing and sweating like a champion to get victory over sin is the most refreshing thing I could have set my eyes on.&quot; -John Piper, pastor and popular author &quot;An outstanding volume for men and women alike!&hellip; Over 250 pages devoted to the practical outworking of discipline on subjects like purity, marriage, prayer, the tongue, the mind, our work, leadership, ministry, and many, many more. I guarantee: Digest this book and you will bid the blahs farewell.&quot; -Charles Swindoll, pastor and best-selling author &quot;I enjoyed reading Disciplines of a Godly Man because it challenged my spirit. I highly recommend it to men who are not thin-skinned.&quot; -Mike Singletary, Hall of Fame linebacker for the Chicago Bears &quot;An inspiring and practical guide for men who seek to reflect God&#039;s glory in their lives. This book is a challenging text for personal devotions as well as for assisting young followers of Christ to grow in their walk with God.&quot; -Lieutenant General Howard D. Graves (U.S. Army, Retired), Former Superintendent, United States Military Academy (West Point, NY)",Crossway,2006-01-10,2023-06-17,304
111,Disciplines of a Godly Woman,Barbara Hughes,Christian Living,9789718342909,,,Lighthouse Inspirational Books and Gifts; Crossway Books,2001-01-01,2023-06-17,
112,Discipling the Flock,Paul Tautges,Pastoral Ministry,9781633421424,,,Shepherd Press,2018-01-01,2023-06-17,
113,Dispensationalism: Rightly Dividing the People of God?,Keith A. Mathison,Theology,9780875523590,0875523595,Dispensationalism: Rightly Dividing the People of God?,P & R Publishing,1995-07-01,2023-06-17,160
114,Divine Design: God's Complementary Roles for Men and Women,John MacArthur  Jr.,Christian Living,9780781405881,0781405882,"For decades culture has blurred the lines between men and women, all in the name of equality. Yet instead of creating harmony, this approach has caused frustration and confusion, leaving families broken and hurting. Divine Design draws reader back to God&rsquo;s intention for men and women, and tackles big issues such as authority in marriage, mothers in the home, and the innate differences between males and females. Readers will discover how embracing their unique design can foster security, balance, and love in a marriage and family.&nbsp;&nbsp;",David C. Cook,2011-10-01,2023-06-17,272
115,Early Church History: The Roman Empire as the Setting of Primitive Christianity,"Stephen Benko, John J. O'Rourke",Church History,,0551002778,,Judson Press,,2023-05-20,
116,Ecclesiastes (Reformed Expository Commentary),Douglas Sean O'Donnell,Commentaries,9781596383982,1596383984,"Douglas O Donnell shows, in this redemptive-historical, biblical, practical, and expositional commentary, that Ecclesiastes answers two key questions that worry everybody in the depths of their minds. The first is &quot;What does man gain from all the toil at which he toils under the sun?&quot; the answer being &quot;nothing.&quot; The second follows: &quot;In light of such vanity the fact that our work and knowledge and pleasures and possessions are ultimately made futile by death how then should we live this temporary life under the sun?&quot; The answer is surprisingly simple: we are to abandon human illusions of self-importance, put aside all pretense of pride, and embrace divine wisdom. &quot;The Preacher&quot; of Ecclesiastes says that this is &quot;the end of the matter; all has been heard. Fear God and keep his commandments, for this is the whole duty of man&quot; (12:13). O Donnell explains how these two key ideas inform the text of Ecclesiastes and the practical instruction that flows from them.",P & R Publishing,2014-11-21,2023-05-20,272
117,Ecclesiastes &amp; the Song of Songs (Apollos Old Testament Commentary),"Daniel C. Fredericks, Daniel J. Estes",Commentaries,9780830825158,0830825150,"The Bible is both the inspired word of God for his people, whether in biblical times or for the church today, and a fully human book, written in a variety of cultural settings. The Apollos Old Testament Commentary aims to take with equal seriousness the divine and human aspects of Scripture.   This volume by Daniel J. Estes and Daniel C. Fredericks expounds the books of Ecclesiastes and Song of Songs in a scholarly manner, and it shows the relevance of these important books to today's readers.   Edited by David W. Baker and Gordon J. Wenham, these commentaries are intended primarily to serve the needs of those who preach from the Old Testament, but is equally suitable for use by scholars and all serious students of the Bible.",IVP Academic,2010-04-23,2023-06-17,472
118,Encountering God in the Psalms,Michael E. Travers,Old Testament Studies,9780825438424,082543842X,"A fresh, in-depth study of the poetry of Psalms, highlighting the character and actions of God in every psalm. Enticing reading and quality resource material.",Kregel Publications,2003-09-10,2023-06-17,320
119,Encounters with Jesus: Unexpected Answers to Life's Biggest Questions,Timothy Keller,Christian Living,9780525954354,052595435X,"In Encounters With Jesus, New York Times bestselling author and renowned pastor Timothy Keller shows how people were changed when they met Jesus personallyand how we can be changed today through our own encounter with him.   &nbsp;   What is my purpose in life? What is a good life? Why is there so much wrong with our world? What can I do to help make it right? These are some of the big questions that everyone must answer. And any lasting change in our lives will start with a change to one or more of our answers to these questions.&nbsp;   &nbsp;   Jesus changed the life of every person he met in the Gospels, through powerful experiences and words that led them to unexpected and transforming answers to their big questions. These conversations can still address our questions and doubts today. Originally published as an eSeries, Encounters with Jesus focuses on several of these meetings  including with a skeptical student, a religious insider, an outcast, even Jesus&rsquo; mother  and shows how the central events in Jesus&rsquo; life provide ways for us to encounter him again or for the first time.",Dutton Adult,2013-11-19,2023-06-17,240
120,Enjoying God Forever: Westminster Confession (Foundations of the Faith),Paul Smith,Creeds and Confessions,9780802471093,0802471099,"Something has gone terribly wrong. We live in a broken world.  Things are not how they ought to be.  And at times it seems like God is not in control.  Can we be sure of God&#039;s purposes?  Can we know what He had in mind for us?These thoughts and questions have been around for centuries.  And when the Westminster Assembly convened at Westminster Abbey in London on July 1, 1643, a magnificent exposition of the Word of God was created to answer these pressing questions held in the hearts of men. Enjoying God Forever brings the many topics addressed in the Westminster Confession of Faith into today&#039;s world.  Paul Smith skillfully aligns the truths of old with the questions and situations of today&#039;s Christian. God is in control, and we do fit into His plan.  Discover afresh the  truth of God&#039;s Word and the passionate commitment to it held by the men who wrote the Westminster Confession of Faith.",Moody Publishers,1998-09-01,2023-06-17,256
121,Ephesians (Reformed Expository Commentary),Bryan Chapell,Commentaries,9781596380165,1596380160,"The apostle Paul wrote to the house churches of the ancient metropolis of Ephesus with this amazing truth: through such as you, the purposes of Christ will fill the world; he is transforming all things for you and through you. For this collection of churches in a culture antagonistic to the gospel, the apostle Paul pens themes so grand they can still take our breath away, and they often move the apostle to doxology and prayer.Bryan Chapell, noted preacher and teacher of preaching, unfolds Paul&#039;s glorious description of how the triumph of the church will occur and what our roles are in Christ&#039;s ultimate victory. When we lift our eyes beyond personal borders to share even a glimpse of Paul&#039;s expansive vision, then we, too, will join his doxology for God&#039;s amazing grace that saves individuals, empowers the church, and through both, transforms the world.This exposition of Ephesians is accessible to both pastors and lay readers, as are all titles in the Reformed Expository Commentary series. Each provides exposition that gives careful attention to the biblical text, is doctrinally Reformed, focuses on Christ through the lens of redemptive history, and applies the Bible to our contemporary setting.",P & R Publishing,2009-08-05,2023-05-20,383
122,"Epistles of John, The (Expositional Commentary)",James Montgomery Boice,New Testament Studies,9780801066429,0801066425,"A thorough expositional commentary on the epistles of John, bringing into focus three of his major themes: righteousness, truth, and love.",Baker Books,2006-09-01,2023-06-17,192
